No,Tanggal,Pasar Rongtengah,Pasar Srimangunan,Rata-rata
126,5/6/2022,"Rp9,000","Rp8,000","Rp8,500"
127,5/7/2022,"Rp9,000","Rp8,000","Rp8,500"
128,5/8/2022,"Rp9,000","Rp8,000","Rp8,500"
129,5/9/2022,"Rp9,000","Rp8,000","Rp8,500"
130,5/10/2022,"Rp9,000","Rp8,000","Rp8,500"
131,5/11/2022,"Rp9,000","Rp8,000","Rp8,500"
132,5/12/2022,"Rp9,000","Rp8,000","Rp8,500"
133,5/13/2022,"Rp9,000","Rp8,000","Rp8,500"
134,5/14/2022,"Rp9,000","Rp8,000","Rp8,500"
135,5/15/2022,"Rp9,000","Rp8,000","Rp8,500"
136,5/16/2022,"Rp9,000","Rp8,000","Rp8,500"
137,5/17/2022,"Rp9,000","Rp8,000","Rp8,500"
138,5/18/2022,"Rp9,000","Rp8,000","Rp8,500"
139,5/19/2022,"Rp9,000","Rp8,000","Rp8,500"
140,5/20/2022,"Rp9,000","Rp8,000","Rp8,500"
141,5/21/2022,"Rp9,000","Rp8,000","Rp8,500"
142,5/22/2022,"Rp9,000","Rp8,000","Rp8,500"
143,5/23/2022,"Rp9,000","Rp8,000","Rp8,500"
144,5/24/2022,"Rp9,000","Rp8,000","Rp8,500"
145,5/25/2022,"Rp9,000","Rp8,000","Rp8,500"
146,5/26/2022,"Rp9,000","Rp8,000","Rp8,500"
147,5/27/2022,"Rp9,000","Rp8,000","Rp8,500"
148,5/28/2022,"Rp9,000","Rp8,000","Rp8,500"
149,5/29/2022,"Rp9,000","Rp8,000","Rp8,500"
150,5/30/2022,"Rp9,000","Rp8,000","Rp8,500"
151,5/31/2022,"Rp9,000","Rp8,000","Rp8,500"
152,6/1/2022,"Rp9,000","Rp8,000","Rp8,500"
153,6/2/2022,"Rp9,000","Rp8,000","Rp8,500"
154,6/3/2022,"Rp9,000","Rp8,000","Rp8,500"
155,6/4/2022,"Rp9,000","Rp8,000","Rp8,500"
156,6/5/2022,"Rp9,000","Rp8,000","Rp8,500"
157,6/6/2022,"Rp9,000","Rp8,000","Rp8,500"
158,6/7/2022,"Rp9,000","Rp8,000","Rp8,500"
159,6/8/2022,"Rp9,000","Rp8,000","Rp8,500"
160,6/9/2022,"Rp9,000","Rp8,000","Rp8,500"
161,6/10/2022,"Rp9,000","Rp8,000","Rp8,500"
162,6/11/2022,"Rp9,000","Rp8,000","Rp8,500"
163,6/12/2022,"Rp9,000","Rp8,000","Rp8,500"
164,6/13/2022,"Rp9,000","Rp8,000","Rp8,500"
165,6/14/2022,"Rp9,000","Rp8,000","Rp8,500"
